mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
250,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,DJ,DJI,,,,X,,A,,X,,,,DJ,DJI,262,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,230,,338,,DSBUTI,,,,,,DJF,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GA,G,,,,X,,F,,X,,,,GA,GAB,266,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,236,,314,,GABUN,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GM,WAG,,,,X,,E,,X,,,,GM,GMB,270,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,237,,252,,GAMBIA,,,,,,GMD,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
